epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,550.685,0.5777,1.02787,0.28914,0.39729,0.89351,0.94736,0.92887,0.97239,0.8149,0.94736,0.92887,0.97239,0.75584,0.67604,0.8811,0.07449,0.43729,0.89681,0.0048516,0.0016172,0.0048516,0.0016172,0.0048516,0.0016172,0.0048516,0.0016172
60,558.787,0.55714,0.97284,0.29282,0.38544,0.89396,0.93607,0.94194,0.97498,0.8144,0.92934,0.93548,0.97356,0.75636,0.68985,0.91636,0.07501,0.44659,0.89285,0.0048318,0.0016106,0.0048318,0.0016106,0.0048318,0.0016106,0.0048318,0.0016106
61,567.431,0.55634,0.96338,0.2795,0.37073,0.88119,0.94818,0.90968,0.97275,0.81446,0.94818,0.90968,0.97275,0.75942,0.68854,0.89117,0.07001,0.43974,0.89397,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
62,575.023,0.58799,1.0304,0.29801,0.39091,0.89527,0.95967,0.92111,0.97008,0.81404,0.95973,0.92259,0.97299,0.7638,0.71061,0.91013,0.07477,0.45378,0.90869,0.0047922,0.0015974,0.0047922,0.0015974,0.0047922,0.0015974,0.0047922,0.0015974
63,584.927,0.59378,0.96394,0.28595,0.38687,0.90819,0.9282,0.91746,0.96999,0.81068,0.9217,0.91133,0.95921,0.73909,0.71173,0.92171,0.07234,0.4701,0.91209,0.0047724,0.0015908,0.0047724,0.0015908,0.0047724,0.0015908,0.0047724,0.0015908
64,592.55,0.57923,0.97311,0.28501,0.38331,0.89586,0.94266,0.92903,0.97458,0.80906,0.93566,0.92258,0.96231,0.75826,0.70996,0.89673,0.07304,0.46265,0.91583,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
65,600.59,0.56299,0.95644,0.27373,0.38073,0.88991,0.93124,0.96129,0.97583,0.8118,0.92499,0.95484,0.96301,0.76382,0.70303,0.881,0.07115,0.44401,0.91633,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776,0.0047328,0.0015776
66,609.518,0.54534,0.94557,0.26558,0.38464,0.89001,0.95698,0.93548,0.97539,0.81629,0.95698,0.93548,0.97539,0.76644,0.68527,0.86073,0.06502,0.43942,0.90173,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571,0.004713,0.001571
67,617.232,0.55951,0.95059,0.28415,0.38658,0.89803,0.91777,0.93608,0.96997,0.80816,0.91798,0.93872,0.97188,0.75994,0.7099,0.91029,0.06511,0.5044,0.92232,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
68,624.95,0.57466,0.97392,0.26907,0.38814,0.90038,0.97255,0.93548,0.96653,0.80664,0.95371,0.93038,0.96586,0.72478,0.69997,0.92917,0.06478,0.4528,0.91737,0.0046734,0.0015578,0.0046734,0.0015578,0.0046734,0.0015578,0.0046734,0.0015578
69,633.356,0.57775,0.95176,0.26899,0.38938,0.9061,0.95168,0.92903,0.97003,0.79627,0.95168,0.92903,0.96078,0.74673,0.7166,0.92432,0.06421,0.44862,0.92429,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512,0.0046536,0.0015512
